Date	Open	High	Low	Close 	Adj Close 	Volume
Jan 21, 2026	1,389.50	1,412.90	1,373.00	1,404.60	1,398.14	17,352,720
Jan 20, 2026	1,410.70	1,416.00	1,390.00	1,394.00	1,387.58	13,189,498
Jan 19, 2026	1,450.60	1,450.60	1,403.30	1,413.60	1,407.09	20,392,765
Jan 16, 2026	1,458.80	1,480.00	1,455.10	1,457.90	1,451.19	17,167,161
Jan 15, 2026	1,458.80	1,458.80	1,458.80	1,458.80	1,452.09	-
Jan 14, 2026	1,444.00	1,467.00	1,440.20	1,458.80	1,452.09	8,321,764
Jan 13, 2026	1,485.00	1,485.80	1,444.70	1,452.80	1,446.11	13,499,760
Jan 12, 2026	1,475.30	1,485.30	1,451.00	1,483.20	1,476.37	8,883,745
Jan 9, 2026	1,465.00	1,479.90	1,465.00	1,475.30	1,468.51	8,335,311
Jan 8, 2026	1,500.00	1,503.90	1,468.80	1,470.60	1,463.83	16,518,684
Jan 7, 2026	1,510.00	1,520.00	1,498.00	1,504.20	1,497.28	11,199,340
Jan 6, 2026	1,569.00	1,569.00	1,496.30	1,507.60	1,500.66	27,417,125
Jan 5, 2026	1,593.00	1,611.80	1,575.30	1,578.10	1,570.84	8,704,973
Jan 2, 2026	1,580.00	1,594.60	1,578.20	1,592.30	1,584.97	6,602,230
Jan 1, 2026	1,573.70	1,592.50	1,571.10	1,575.60	1,568.35	6,408,128
Dec 31, 2025	1,541.00	1,577.00	1,541.00	1,570.40	1,563.17	5,771,830
Dec 30, 2025	1,547.00	1,553.60	1,537.80	1,539.80	1,532.71	8,815,884
Dec 29, 2025	1,554.90	1,558.10	1,543.60	1,545.60	1,538.49	5,972,105
Dec 26, 2025	1,554.70	1,561.00	1,554.30	1,559.20	1,552.02	2,311,495
Dec 24, 2025	1,572.70	1,575.70	1,553.60	1,558.20	1,551.03	8,815,745
Dec 23, 2025	1,580.90	1,580.90	1,568.10	1,570.70	1,563.47	7,506,564
Dec 22, 2025	1,573.50	1,577.50	1,565.30	1,575.40	1,568.15	10,184,852
Dec 19, 2025	1,554.40	1,574.20	1,551.00	1,565.10	1,557.90	13,937,275
Dec 18, 2025	1,535.20	1,551.50	1,535.20	1,544.40	1,537.29	6,580,829
Dec 17, 2025	1,550.00	1,550.00	1,539.30	1,544.40	1,537.29	7,116,649
Dec 16, 2025	1,545.00	1,551.70	1,538.80	1,542.30	1,535.20	11,731,856
Dec 15, 2025	1,551.20	1,558.60	1,546.50	1,556.20	1,549.04	5,774,543
Dec 12, 2025	1,550.80	1,559.80	1,546.10	1,556.50	1,549.34	5,106,655
Dec 11, 2025	1,536.90	1,550.00	1,524.00	1,545.00	1,537.89	4,706,197
Dec 10, 2025	1,534.00	1,547.50	1,531.40	1,536.90	1,529.83	7,991,629
Dec 9, 2025	1,540.30	1,542.50	1,520.10	1,529.40	1,522.36	11,503,971
Dec 8, 2025	1,539.20	1,551.00	1,535.00	1,543.00	1,535.90	11,301,491
Dec 5, 2025	1,530.40	1,545.80	1,520.60	1,540.60	1,533.51	10,183,266
Dec 4, 2025	1,536.00	1,560.50	1,517.60	1,535.60	1,528.53	11,867,930
Dec 3, 2025	1,545.20	1,552.40	1,533.00	1,538.80	1,531.72	6,090,883
Dec 2, 2025	1,561.10	1,567.50	1,542.00	1,546.30	1,539.18	11,389,150
Dec 1, 2025	1,575.00	1,577.50	1,563.60	1,566.10	1,558.89	8,920,233
Nov 28, 2025	1,568.00	1,581.30	1,563.00	1,567.50	1,560.29	8,959,508
Nov 27, 2025	1,575.00	1,575.50	1,556.00	1,563.40	1,556.20	9,794,643
Nov 26, 2025	1,542.30	1,571.60	1,540.50	1,569.90	1,562.67	14,054,299
Nov 25, 2025	1,535.90	1,559.60	1,525.10	1,539.70	1,532.61	15,033,482
Nov 24, 2025	1,550.00	1,550.00	1,531.80	1,535.90	1,528.83	18,433,951
Nov 21, 2025	1,541.00	1,557.80	1,540.10	1,546.60	1,539.48	9,615,271
Nov 20, 2025	1,530.00	1,550.90	1,526.70	1,549.10	1,541.97	18,171,724
Nov 19, 2025	1,517.40	1,522.30	1,512.00	1,518.90	1,511.91	5,692,366
Nov 18, 2025	1,521.70	1,527.80	1,510.50	1,519.40	1,512.41	11,045,042
Nov 17, 2025	1,520.90	1,523.70	1,511.50	1,518.30	1,511.31	5,871,416
Nov 14, 2025	1,505.50	1,520.90	1,505.50	1,518.90	1,511.91	7,682,823
Nov 13, 2025	1,515.00	1,522.10	1,506.80	1,510.90	1,503.95	7,196,443
Nov 12, 2025	1,505.00	1,524.70	1,500.00	1,511.50	1,504.54	12,384,459
Nov 11, 2025	1,497.00	1,498.80	1,480.20	1,493.40	1,486.53	7,127,506
Nov 10, 2025	1,477.90	1,501.00	1,475.50	1,489.30	1,482.45	7,068,438
Nov 7, 2025	1,494.60	1,498.40	1,475.90	1,478.00	1,471.20	7,821,765
Nov 6, 2025	1,484.00	1,501.60	1,476.20	1,496.10	1,489.21	16,772,678
Nov 4, 2025	1,483.90	1,492.80	1,470.10	1,473.10	1,466.32	10,007,806
Nov 3, 2025	1,486.00	1,495.00	1,479.30	1,484.70	1,477.87	8,452,085
Oct 31, 2025	1,490.40	1,497.50	1,482.30	1,486.40	1,479.56	8,758,053
Oct 30, 2025	1,500.00	1,503.10	1,484.00	1,488.50	1,481.65	9,318,663
